"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 20 18:52:47 CST 2024","Thu Jun 20 18:53:36 CST 2024","48964","test_case","test_release_management","TestReleaseStrategy","","","节目编排-选节目-筛选普通节目",""
"passed","Thu Jun 20 18:51:48 CST 2024","Thu Jun 20 18:51:54 CST 2024","6660","test_case","test_release_management","TestReleaseStrategy","","","设置每周一到周日，每天都播放",""
"passed","Thu Jun 20 18:50:19 CST 2024","Thu Jun 20 18:50:21 CST 2024","2116","test_case","test_release_management","TestReleaseStrategy","","","发布策略，选择不静音播放",""
"passed","Thu Jun 20 18:50:43 CST 2024","Thu Jun 20 18:50:54 CST 2024","11590","test_case","test_media_center","TestMediaCenter","","","上传单个文件",""
"passed","Thu Jun 20 18:50:19 CST 2024","Thu Jun 20 18:50:20 CST 2024","1348","test_case","test_system_management","TestSystemManagement","","","点击系统管理",""
"broken","Thu Jun 20 18:50:33 CST 2024","Thu Jun 20 18:50:34 CST 2024","1740","test_case","test_release_management","TestReleaseStrategy","","","在选设备抽屉，切换到‘设备分组’tab上",""
"passed","Thu Jun 20 18:51:16 CST 2024","Thu Jun 20 18:51:23 CST 2024","6754","test_case","test_release_management","TestReleaseStrategy","","","设置每周一到周日，每天都播放",""
"passed","Thu Jun 20 18:51:37 CST 2024","Thu Jun 20 18:51:44 CST 2024","6436","test_case","test_release_management","TestReleaseStrategy","","","设置每周一到周日，每天都播放",""
"passed","Thu Jun 20 18:50:27 CST 2024","Thu Jun 20 18:50:27 CST 2024","244","test_case","test_release_management","TestReleaseStrategy","","","发布策略，关闭发布",""
"skipped","Thu Jun 20 18:53:00 CST 2024","Thu Jun 20 18:53:00 CST 2024","0","test_case","test_program_management","TestProgramManagement","","","同时删除3个节目",""
"passed","Thu Jun 20 18:50:45 CST 2024","Thu Jun 20 18:50:50 CST 2024","5301","test_case","test_release_management","TestReleaseStrategy","","","选择所有的机构",""
"passed","Thu Jun 20 18:50:28 CST 2024","Thu Jun 20 18:50:41 CST 2024","12430","test_case","test_system_management","TestSystemManagement","","","添加门店",""
"passed","Thu Jun 20 18:50:50 CST 2024","Thu Jun 20 18:51:14 CST 2024","23898","test_case","test_release_management","TestReleaseStrategy","","","节目编排中，选择日期",""
"passed","Thu Jun 20 18:51:54 CST 2024","Thu Jun 20 18:52:01 CST 2024","6660","test_case","test_release_management","TestReleaseStrategy","","","设置每周一到周日，每天都播放",""
"broken","Thu Jun 20 18:51:28 CST 2024","Thu Jun 20 18:51:28 CST 2024","0","test_case","test_play_bill","TestPlayBill","","","成功引用用节目单",""
"passed","Thu Jun 20 18:51:15 CST 2024","Thu Jun 20 18:51:40 CST 2024","25549","test_case","test_program_management","TestProgramManagement","","","新增一个横屏的联屏节目",""
"broken","Thu Jun 20 18:51:10 CST 2024","Thu Jun 20 18:51:11 CST 2024","1151","test_case","test_program_management","TestProgramManagement","","","新增一个自定义屏幕尺寸的普通节目",""
"passed","Thu Jun 20 18:53:38 CST 2024","Thu Jun 20 18:53:49 CST 2024","11475","","","","","","节目编排-选节目-筛选横屏节目",""
"passed","Thu Jun 20 18:50:32 CST 2024","Thu Jun 20 18:50:42 CST 2024","10072","test_case","test_media_center","TestMediaCenter","","","上传单个文件",""
"passed","Thu Jun 20 18:50:55 CST 2024","Thu Jun 20 18:51:05 CST 2024","10223","test_case","test_media_center","TestMediaCenter","","","上传单个文件",""
"skipped","Thu Jun 20 18:50:05 CST 2024","Thu Jun 20 18:50:05 CST 2024","0","test_case","test_testin","TestTestIn","","","登录成功","测试登录模块"
